file,theorem,kind,n_lemmas,axis1,axis2,verified,lemmas
britton_via_tower__lemma_not_in_left_subgroup_rep_nonempty,_tactus_precondition_britton_via_tower.lemma_not_in_left_subgroup_rep_nonempty_at_britton_via_tower_2870_9_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_not_in_right_subgroup_rep_nonempty,_tactus_postcondition_britton_via_tower.lemma_not_in_right_subgroup_rep_nonempty_at_britton_via_tower_2850_9_3,postcondition,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;not_true_eq_false
britton_via_tower__lemma_not_in_right_subgroup_rep_nonempty,_tactus_postcondition_britton_via_tower.lemma_not_in_right_subgroup_rep_nonempty_at_britton_via_tower_2850_9_4,postcondition,15,DERIVABLE,REWRITE-CLOSURE(core-extended),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;not_and;Classical.not_forall;not_imp
britton_via_tower__lemma_not_in_right_subgroup_rep_nonempty,_tactus_precondition_britton_via_tower.lemma_not_in_right_subgroup_rep_nonempty_at_britton_via_tower_2854_9_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_stable_pair_inv_gen,_tactus_precondition_britton_via_tower.lemma_stable_pair_inv_gen_at_britton_via_tower_7189_9_2,precondition,17,DERIVABLE,REWRITE-CLOSURE(core-extended),yes,gt_iff_lt;and_imp;not_and;Classical.not_forall;not_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;not_false_eq_true
britton_via_tower__lemma_stable_pair_inv_gen,_tactus_precondition_britton_via_tower.lemma_stable_pair_inv_gen_at_britton_via_tower_7191_9_5,precondition,18,MIN-FAILS,MIN-FAILS,NO,gt_iff_lt;and_imp;not_and;Classical.not_forall;not_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;Decidable.not_not;imp_self
britton_via_tower__lemma_stable_pair_inv_gen,_tactus_precondition_britton_via_tower.lemma_stable_pair_inv_gen_at_britton_via_tower_7193_9_8,precondition,19,MIN-FAILS,MIN-FAILS,NO,gt_iff_lt;and_imp;not_and;Classical.not_forall;not_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;Decidable.not_not;not_true_eq_false;false_implies
britton_via_tower__lemma_subgroup_right_cancel,_tactus_postcondition_britton_via_tower.lemma_subgroup_right_cancel_at_britton_via_tower_2887_9_9,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_subgroup_right_cancel,_tactus_precondition_britton_via_tower.lemma_subgroup_right_cancel_at_britton_via_tower_2891_5_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
britton_via_tower__lemma_subgroup_right_cancel,_tactus_precondition_britton_via_tower.lemma_subgroup_right_cancel_at_britton_via_tower_2893_5_4,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
