file,theorem,minimal_rung
coset_group__lemma_inv_word_traceable,_tactus_precondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_same_coset_same_trace,_tactus_postcondition_coset_group,omega
coset_group__lemma_same_coset_same_trace,_tactus_precondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_trace_inv_rep_to_zero,_tactus_postcondition_coset_group,T2 (simp_all/case_split)
coset_group__lemma_trace_inv_rep_to_zero,_tactus_precondition_coset_group,T2 (simp_all/case_split)
f_free__lemma_tx_free_in_g_m,_tactus_postcondition_f_free,omega
f_free__lemma_tx_free_in_g_m,_tactus_precondition_f_free,T2 (simp_all/case_split)
f_free_tower__lemma_txbd_family_layout,_tactus_postcondition_f_free_tower,T2 (simp_all/case_split)
h2__lemma_h2_stable_letter,_tactus_postcondition_h2,rfl
higman_consequences__lemma_base_A_in_h3,_tactus_postcondition_higman_consequences,omega
higman_consequences__lemma_base_A_in_h3,_tactus_precondition_higman_consequences,omega
higman_consequences__lemma_bm_in_h3,_tactus_assert_higman_consequences,rfl
higman_consequences__lemma_bm_in_h3,_tactus_postcondition_higman_consequences,T2 (simp_all/case_split)
higman_consequences__lemma_bm_in_h3,_tactus_precondition_higman_consequences,T2 (simp_all/case_split)
higman_consequences__lemma_h3_upto_in_h3,_tactus_postcondition_higman_consequences,T2 (simp_all/case_split)
higman_consequences__lemma_h3_upto_in_h3,_tactus_precondition_higman_consequences,T2 (simp_all/case_split)
higman_consequences__lemma_h3_upto_top_in_h3,_tactus_assert_higman_consequences,rfl
higman_consequences__lemma_h3_upto_top_in_h3,_tactus_postcondition_higman_consequences,T2 (simp_all/case_split)
higman_consequences__lemma_h3_upto_top_in_h3,_tactus_precondition_higman_consequences,T2 (simp_all/case_split)
ii_subset__lemma_residue_shift_x,_tactus_assert_ii_subset,omega
ii_subset__lemma_residue_shift_x,_tactus_postcondition_ii_subset,T2 (simp_all/case_split)
ii_subset__lemma_residue_shift_x,_tactus_precondition_ii_subset,omega
ii_subset__lemma_spow_int_mult_in_G,_tactus_assert_ii_subset,rfl
ii_subset__lemma_spow_int_mult_in_G,_tactus_ensures_ii_subset,rfl
ii_subset__lemma_spow_int_mult_in_G,_tactus_postcondition_ii_subset,rfl
ii_subset__lemma_spow_int_mult_in_G,_tactus_precondition_ii_subset,rfl
m0_token__lemma_m0,_tactus_postcondition_m0_token,T2 (simp_all/case_split)
m0_token__lemma_m0,_tactus_precondition_m0_token,T2 (simp_all/case_split)
machine_group__lemma_equiv_in_A_preserves_gexp,_tactus_postcondition_machine_group,omega
machine_group__lemma_equiv_in_A_preserves_gexp,_tactus_precondition_machine_group,T2 (simp_all/case_split)
machine_group__lemma_no_pinch_stable_nontrivial,_tactus_assert_machine_group,T2 (simp_all/case_split)
machine_group__lemma_no_pinch_stable_nontrivial,_tactus_postcondition_machine_group,T2 (simp_all/case_split)
machine_group__lemma_no_pinch_stable_nontrivial,_tactus_precondition_machine_group,T2 (simp_all/case_split)
miller_collapse_eval__lemma_emb_split,_tactus_postcondition_miller_collapse_eval,rfl
miller_collapse_inject__lemma_mcw_valid_local,_tactus_postcondition_miller_collapse_inject,T2 (simp_all/case_split)
miller_collapse_inject__lemma_mcw_valid_local,_tactus_precondition_miller_collapse_inject,omega
miller_collapse_limit__lemma_emb_c_index,_tactus_postcondition_miller_collapse_limit,T2 (simp_all/case_split)
miller_collapse_limit__lemma_emb_c_index,_tactus_precondition_miller_collapse_limit,omega
miller_collapse_limit__lemma_limit_commutation,_tactus_postcondition_miller_collapse_limit,T2 (simp_all/case_split)
miller_collapse_limit__lemma_limit_commutation,_tactus_precondition_miller_collapse_limit,T2 (simp_all/case_split)
miller_collapse_reln__lemma_slice_stable,_tactus_postcondition_miller_collapse_reln,rfl
normal_form_afp_textbook__lemma_a_rcoset_rep_idempotent,_tactus_postcondition_normal_form_afp_textbook,peel∘T1
normal_form_afp_textbook__lemma_a_rcoset_rep_idempotent,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_act_sym_preserves_canonical,_tactus_postcondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_act_sym_preserves_canonical,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_afp_injectivity_textbook,_tactus_postcondition_normal_form_afp_textbook,omega
normal_form_afp_textbook__lemma_afp_injectivity_textbook,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_b_rcoset_rep_idempotent,_tactus_postcondition_normal_form_afp_textbook,peel∘T1
normal_form_afp_textbook__lemma_b_rcoset_rep_idempotent,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_equiv_inverse_helper,_tactus_postcondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_equiv_inverse_helper,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_insert_trivial_at_state,_tactus_postcondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_inv_s_s_cancel_g2,_tactus_postcondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_inv_s_s_cancel_g2,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_inverse_pair_g1,_tactus_postcondition_normal_form_afp_textbook,peel∘T1
normal_form_afp_textbook__lemma_inverse_pair_g1,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_trivial_action_inverse,_tactus_postcondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_afp_textbook__lemma_trivial_action_inverse,_tactus_precondition_normal_form_afp_textbook,T2 (simp_all/case_split)
normal_form_amalgamated__lemma_h_inv_pair,_tactus_postcondition_normal_form_amalgamated,omega
normal_form_amalgamated__lemma_h_inv_pair,_tactus_precondition_normal_form_amalgamated,T2 (simp_all/case_split)
normal_form_free_product__lemma_fp_right_retraction_identity,_tactus_postcondition_normal_form_free_product,omega
normal_form_free_product__lemma_fp_right_retraction_identity,_tactus_precondition_normal_form_free_product,omega
phi_l_mapb__lemma_mapb_factor_source,_tactus_assert_phi_l_mapb,T2 (simp_all/case_split)
phi_l_mapb__lemma_mapb_factor_source,_tactus_postcondition_phi_l_mapb,T2 (simp_all/case_split)
phi_l_mapb__lemma_mapb_factor_source,_tactus_precondition_phi_l_mapb,T2 (simp_all/case_split)
phi_l_pinch__lemma_a_words_F_fixes_config,_tactus_postcondition_phi_l_pinch,T2 (simp_all/case_split)
phi_l_pinch__lemma_a_words_F_fixes_config,_tactus_precondition_phi_l_pinch,T2 (simp_all/case_split)
phi_l_pinch__lemma_a_words_F_on_pa_rhs,_tactus_postcondition_phi_l_pinch,T2 (simp_all/case_split)
phi_l_pinch__lemma_a_words_F_on_pa_rhs,_tactus_precondition_phi_l_pinch,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_group_cancel_right,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_group_cancel_right,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_hnn_relator_preserves,_tactus_postcondition_pred_britton_via_tower,omega
pred_britton_via_tower__lemma_hnn_relator_preserves,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_inv_shift_word_valid_for_tower,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_inv_shift_word_valid_for_tower,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_no_pinch_action_nontrivial,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_no_pinch_action_nontrivial,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_not_in_left_subgroup_rep_nonempty,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_not_in_left_subgroup_rep_nonempty,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_not_in_right_subgroup_rep_nonempty,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_not_in_right_subgroup_rep_nonempty,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_stable_pair_inv_gen,_tactus_postcondition_pred_britton_via_tower,peel∘T1
pred_britton_via_tower__lemma_stable_pair_inv_gen,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_subgroup_right_cancel,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_subgroup_right_cancel,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_textbook_base_case,_tactus_assert_pred_britton_via_tower,omega
pred_britton_via_tower__lemma_textbook_base_case,_tactus_postcondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_textbook_base_case,_tactus_precondition_pred_britton_via_tower,T2 (simp_all/case_split)
pred_britton_via_tower__lemma_word_level_bounds,_tactus_postcondition_pred_britton_via_tower,omega
pred_britton_via_tower__lemma_word_level_bounds,_tactus_precondition_pred_britton_via_tower,omega
pred_emb_respects__lemma_pred_insert_equiv_empty,_tactus_postcondition_pred_emb_respects,T2 (simp_all/case_split)
pred_emb_respects__lemma_pred_insert_equiv_empty,_tactus_precondition_pred_emb_respects,T2 (simp_all/case_split)
pred_hnn__lemma_hnn_relators_unfold,_tactus_postcondition_pred_hnn,rfl
pred_normal_form_afp_textbook__lemma_a_rcoset_rep_idempotent,_tactus_postcondition_pred_normal_form_afp_textbook,peel∘T1
pred_normal_form_afp_textbook__lemma_a_rcoset_rep_idempotent,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_act_sym_preserves_canonical,_tactus_postcondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_act_sym_preserves_canonical,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_afp_injectivity_textbook,_tactus_postcondition_pred_normal_form_afp_textbook,omega
pred_normal_form_afp_textbook__lemma_afp_injectivity_textbook,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_afp_num_gens_pred,_tactus_postcondition_pred_normal_form_afp_textbook,rfl
pred_normal_form_afp_textbook__lemma_b_rcoset_rep_idempotent,_tactus_postcondition_pred_normal_form_afp_textbook,peel∘T1
pred_normal_form_afp_textbook__lemma_b_rcoset_rep_idempotent,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_equiv_inverse_helper,_tactus_postcondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_equiv_inverse_helper,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_insert_trivial_at_state,_tactus_postcondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_inv_s_s_cancel_g2,_tactus_postcondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_inv_s_s_cancel_g2,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_inverse_pair_g1,_tactus_postcondition_pred_normal_form_afp_textbook,peel∘T1
pred_normal_form_afp_textbook__lemma_inverse_pair_g1,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_trivial_action_inverse,_tactus_postcondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_afp_textbook__lemma_trivial_action_inverse,_tactus_precondition_pred_normal_form_afp_textbook,T2 (simp_all/case_split)
pred_normal_form_free_product__lemma_fp_right_retraction_pred_identity,_tactus_postcondition_pred_normal_form_free_product,omega
pred_normal_form_free_product__lemma_fp_right_retraction_pred_identity,_tactus_precondition_pred_normal_form_free_product,omega
pred_presentation_lemmas__lemma_pred_equiv_concat,_tactus_postcondition_pred_presentation_lemmas,T2 (simp_all/case_split)
pred_presentation_lemmas__lemma_pred_equiv_concat,_tactus_precondition_pred_presentation_lemmas,peel∘T1
pred_tower__britton_lemma_via_tower,_tactus_postcondition_pred_tower,omega
pred_tower__britton_lemma_via_tower,_tactus_precondition_pred_tower,T2 (simp_all/case_split)
presentation_lemmas__lemma_equiv_concat,_tactus_postcondition_presentation_lemmas,T2 (simp_all/case_split)
presentation_lemmas__lemma_equiv_concat,_tactus_precondition_presentation_lemmas,peel∘T1
prop_v__lemma_emb_a_reduced,_tactus_postcondition_prop_v,T2 (simp_all/case_split)
prop_v__lemma_emb_a_reduced,_tactus_precondition_prop_v,T2 (simp_all/case_split)
quotient__lemma_add_relator_preserves_equiv,_tactus_postcondition_quotient,T2 (simp_all/case_split)
quotient__lemma_add_relator_preserves_equiv,_tactus_precondition_quotient,T2 (simp_all/case_split)
quotient__lemma_add_relators_preserves_equiv,_tactus_postcondition_quotient,T2 (simp_all/case_split)
quotient__lemma_add_relators_preserves_equiv,_tactus_precondition_quotient,T2 (simp_all/case_split)
r_prime__lemma_config_reflect_full,_tactus_postcondition_r_prime,omega
r_prime__lemma_config_reflect_full,_tactus_precondition_r_prime,T2 (simp_all/case_split)
r_prime__lemma_symbol_power_valid_local,_tactus_postcondition_r_prime,omega
r_prime__lemma_symbol_power_valid_local,_tactus_precondition_r_prime,omega
r_prime_b__lemma_phi_prime_in_sigma_config,_tactus_assert_r_prime_b,T2 (simp_all/case_split)
r_prime_b__lemma_phi_prime_in_sigma_config,_tactus_postcondition_r_prime_b,T2 (simp_all/case_split)
r_prime_b__lemma_phi_prime_in_sigma_config,_tactus_precondition_r_prime_b,T2 (simp_all/case_split)
r_prime_b__lemma_r_prime_b_transfer,_tactus_postcondition_r_prime_b,omega
r_prime_b__lemma_r_prime_b_transfer,_tactus_precondition_r_prime_b,T2 (simp_all/case_split)
reduction__lemma_find_gives_cancellation,_tactus_postcondition_reduction,T2 (simp_all/case_split)
reduction__lemma_reduces_to_concat,_tactus_postcondition_reduction,T2 (simp_all/case_split)
reduction__lemma_reduces_to_concat,_tactus_precondition_reduction,peel∘T1
reduction__lemma_reduces_to_reduced_unique,_tactus_postcondition_reduction,T2 (simp_all/case_split)
reduction__lemma_reduces_to_reduced_unique,_tactus_precondition_reduction,T2 (simp_all/case_split)
runtime__apply_hom_symbol_exec,_tactus_postcondition_runtime,T2 (simp_all/case_split)
runtime__apply_hom_symbol_exec,_tactus_precondition_runtime,T2 (simp_all/case_split)
runtime__copy_word,_tactus_assert_runtime,omega
runtime__copy_word,_tactus_loop_decrease_runtime,omega
runtime__copy_word,_tactus_loop_invariant_runtime,T2 (simp_all/case_split)
runtime__copy_word,_tactus_postcondition_runtime,T2 (simp_all/case_split)
runtime__copy_word,_tactus_precondition_runtime,T2 (simp_all/case_split)
runtime__find_cancellation_exec,_tactus_assert_runtime,omega
runtime__find_cancellation_exec,_tactus_loop_decrease_runtime,omega
runtime__find_cancellation_exec,_tactus_loop_invariant_runtime,T2 (simp_all/case_split)
runtime__find_cancellation_exec,_tactus_postcondition_runtime,T2 (simp_all/case_split)
runtime__find_cancellation_exec,_tactus_precondition_runtime,peel∘T1
runtime__impl__4__clone,_tactus_postcondition_runtime,rfl
runtime__is_inverse_pair_exec,_tactus_postcondition_runtime,omega
sigma_orbit__lemma_sigma_orbit_covers,_tactus_postcondition_sigma_orbit,T2 (simp_all/case_split)
sigma_orbit__lemma_sigma_orbit_covers,_tactus_precondition_sigma_orbit,peel∘T1
tietze__lemma_add_derivable_relator_forward,_tactus_postcondition_tietze,omega
tietze__lemma_add_derivable_relator_forward,_tactus_precondition_tietze,omega
tower__britton_lemma_via_tower,_tactus_postcondition_tower,omega
tower__britton_lemma_via_tower,_tactus_precondition_tower,T2 (simp_all/case_split)
tower_peel__lemma_vi,_tactus_assert_tower_peel,T2 (simp_all/case_split)
tower_peel__lemma_vi,_tactus_postcondition_tower_peel,T2 (simp_all/case_split)
tower_peel__lemma_vi,_tactus_precondition_tower_peel,T2 (simp_all/case_split)
